% 2016îN 11åé 14ì˙ 17éû 34ï™ 26.835000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  2: 0:30
END         TIME :  2008/12/13  2:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    139  1509    526566    8166  -3761082.6860   3636606.1606   3636251.5081    2215.6953   -9920.9240      56.4042
    140  1509    526567    8167  -3761082.6984   3636606.1653   3636251.5319    2215.7005   -9920.9115      56.4279
    141  1509    526568    8168  -3761082.7104   3636606.1737   3636251.5679    2215.7028   -9920.8904      56.4605
    142  1509    526569    8169  -3761082.7251   3636606.1827   3636251.6004    2215.7065   -9920.8734      56.4929
    143  1509    526570    8170  -3761082.7372   3636606.1907   3636251.6356    2215.7093   -9920.8528      56.5247
    144  1509    526571    8171  -3761082.7522   3636606.1949   3636251.6589    2215.7166   -9920.8416      56.5494
    145  1509    526572    8172  -3761082.7595   3636606.1922   3636251.6833    2215.7236   -9920.8236      56.5661
    146  1509    526573    8173  -3761082.7741   3636606.1984   3636251.7165    2215.7294   -9920.8049      56.5974
    147  1509    526574    8174  -3761082.7864   3636606.2023   3636251.7402    2215.7351   -9920.7921      56.6204
    148  1509    526575    8175  -3761082.8028   3636606.2134   3636251.7671    2215.7385   -9920.7813      56.6518
    149  1509    526576    8176  -3761082.8131   3636606.2199   3636251.7902    2215.7410   -9920.7693      56.6749
    150  1509    526577    8177  -3761082.8239   3636606.2296   3636251.8263    2215.7416   -9920.7481      56.7076
    151  1509    526578    8178  -3761082.8368   3636606.2414   3636251.8465    2215.7420   -9920.7415      56.7334
    152  1509    526579    8179  -3761082.8434   3636606.2487   3636251.8793    2215.7413   -9920.7204      56.7603
    153  1509    526580    8180  -3761082.8500   3636606.2544   3636251.8983    2215.7419   -9920.7099      56.7783
    154  1509    526581    8181  -3761082.8547   3636606.2550   3636251.9243    2215.7447   -9920.6907      56.7964
    155  1509    526582    8182  -3761082.8579   3636606.2582   3636251.9565    2215.7446   -9920.6669      56.8185
    156  1509    526583    8183  -3761082.8593   3636606.2635   3636251.9694    2215.7418   -9920.6590      56.8298
    157  1509    526584    8184  -3761082.8636   3636606.2651   3636251.9944    2215.7436   -9920.6411      56.8477
    158  1509    526585    8185  -3761082.8696   3636606.2698   3636252.0137    2215.7444   -9920.6296      56.8649
    159  1509    526586    8186  -3761082.8719   3636606.2791   3636252.0291    2215.7394   -9920.6217      56.8804
    160  1509    526587    8187  -3761082.8806   3636606.2892   3636252.0532    2215.7382   -9920.6096      56.9052
    161  1509    526588    8188  -3761082.8847   3636606.2972   3636252.0743    2215.7352   -9920.5973      56.9242
    162  1509    526589    8189  -3761082.8927   3636606.3020   3636252.0875    2215.7374   -9920.5916      56.9392
    163  1509    526590    8190  -3761082.9008   3636606.3077   3636252.1046    2215.7389   -9920.5832      56.9571
    164  1509    526591    8191  -3761082.9061   3636606.3129   3636252.1171    2215.7388   -9920.5773      56.9704
    165  1509    526592    8192  -3761082.9116   3636606.3180   3636252.1374    2215.7390   -9920.5650      56.9882
    166  1509    526593    8193  -3761082.9187   3636606.3244   3636252.1561    2215.7394   -9920.5552      57.0067
    167  1509    526594    8194  -3761082.9273   3636606.3310   3636252.1622    2215.7406   -9920.5563      57.0190
    168  1509    526595    8195  -3761082.9359   3636606.3388   3636252.1773    2215.7409   -9920.5507      57.0372
    169  1509    526596    8196  -3761082.9429   3636606.3499   3636252.1953    2215.7379   -9920.5432      57.0580
    170  1509    526597    8197  -3761082.9476   3636606.3542   3636252.2112    2215.7380   -9920.5340      57.0723
    171  1509    526598    8198  -3761082.9516   3636606.3587   3636252.2204    2215.7376   -9920.5299      57.0825
    172  1509    526599    8199  -3761082.9566   3636606.3601   3636252.2306    2215.7400   -9920.5241      57.0921
    173  1509    526600    8200  -3761082.9607   3636606.3604   3636252.2417    2215.7426   -9920.5169      57.1011
    174  1509    526601    8201  -3761082.9650   3636606.3608   3636252.2472    2215.7454   -9920.5142      57.1070
    175  1509    526602    8202  -3761082.9698   3636606.3631   3636252.2557    2215.7471   -9920.5102      57.1160
    176  1509    526603    8203  -3761082.9723   3636606.3647   3636252.2640    2215.7477   -9920.5051      57.1231
    177  1509    526604    8204  -3761082.9733   3636606.3631   3636252.2684    2215.7495   -9920.5013      57.1254
    178  1509    526605    8205  -3761082.9794   3636606.3663   3636252.2743    2215.7514   -9920.5002      57.1342
    179  1509    526606    8206  -3761082.9787   3636606.3672   3636252.2794    2215.7503   -9920.4962      57.1372
    180  1509    526607    8207  -3761082.9758   3636606.3637   3636252.2849    2215.7508   -9920.4890      57.1367
    181  1509    526608    8208  -3761082.9751   3636606.3669   3636252.2933    2215.7480   -9920.4832      57.1429
    182  1509    526609    8209  -3761082.9773   3636606.3671   3636252.2970    2215.7494   -9920.4811      57.1464
    183  1509    526610    8210  -3761082.9758   3636606.3691   3636252.3049    2215.7469   -9920.4748      57.1512
    184  1509    526611    8211  -3761082.9799   3636606.3683   3636252.3134    2215.7504   -9920.4692      57.1580
    185  1509    526612    8212  -3761082.9778   3636606.3684   3636252.3161    2215.7488   -9920.4662      57.1584
    186  1509    526613    8213  -3761082.9821   3636606.3682   3636252.3185    2215.7520   -9920.4659      57.1622
    187  1509    526614    8214  -3761082.9844   3636606.3671   3636252.3289    2215.7543   -9920.4579      57.1689
    188  1509    526615    8215  -3761082.9812   3636606.3588   3636252.3302    2215.7581   -9920.4522      57.1631
    189  1509    526616    8216  -3761082.9841   3636606.3573   3636252.3400    2215.7612   -9920.4448      57.1696
    190  1509    526617    8217  -3761082.9843   3636606.3554   3636252.3479    2215.7627   -9920.4377      57.1731
    191  1509    526618    8218  -3761082.9820   3636606.3547   3636252.3530    2215.7616   -9920.4323      57.1743
    192  1509    526619    8219  -3761082.9858   3636606.3519   3636252.3621    2215.7662   -9920.4253      57.1801
    193  1509    526620    8220  -3761082.9787   3636606.3480   3636252.3659    2215.7641   -9920.4176      57.1760
    194  1509    526621    8221  -3761082.9826   3636606.3468   3636252.3690    2215.7677   -9920.4162      57.1794
    195  1509    526622    8222  -3761082.9824   3636606.3412   3636252.3832    2215.7716   -9920.4024      57.1842
    196  1509    526623    8223  -3761082.9794   3636606.3366   3636252.3839    2215.7728   -9920.3987      57.1802
    197  1509    526624    8224  -3761082.9840   3636606.3318   3636252.3882    2215.7794   -9920.3952      57.1826
    198  1509    526625    8225  -3761082.9821   3636606.3252   3636252.3964    2215.7829   -9920.3849      57.1825
    199  1509    526626    8226  -3761082.9815   3636606.3242   3636252.4046    2215.7832   -9920.3776      57.1863
    200  1509    526627    8227  -3761082.9859   3636606.3245   3636252.4150    2215.7860   -9920.3711      57.1951
    201  1509    526628    8228  -3761082.9862   3636606.3220   3636252.4218    2215.7880   -9920.3646      57.1977
    202  1509    526629    8229  -3761082.9794   3636606.3177   3636252.4210    2215.7864   -9920.3608      57.1908
    203  1509    526630    8230  -3761082.9779   3636606.3135   3636252.4221    2215.7883   -9920.3575      57.1881
    204  1509    526631    8231  -3761082.9738   3636606.3073   3636252.4270    2215.7900   -9920.3494      57.1850
    205  1509    526632    8232  -3761082.9706   3636606.3034   3636252.4292    2215.7905   -9920.3447      57.1822
    206  1509    526633    8233  -3761082.9690   3636606.2991   3636252.4337    2215.7925   -9920.3386      57.1814
    207  1509    526634    8234  -3761082.9670   3636606.2958   3636252.4362    2215.7935   -9920.3344      57.1797
    208  1509    526635    8235  -3761082.9613   3636606.2877   3636252.4343    2215.7954   -9920.3303      57.1707
    209  1509    526636    8236  -3761082.9611   3636606.2843   3636252.4389    2215.7976   -9920.3252      57.1713
    210  1509    526637    8237  -3761082.9575   3636606.2790   3636252.4489    2215.7990   -9920.3135      57.1719
    211  1509    526638    8238  -3761082.9494   3636606.2716   3636252.4504    2215.7987   -9920.3058      57.1638
    212  1509    526639    8239  -3761082.9484   3636606.2689   3636252.4555    2215.7999   -9920.3002      57.1646
    213  1509    526640    8240  -3761082.9518   3636606.2707   3636252.4546    2215.8010   -9920.3031      57.1671
    214  1509    526641    8241  -3761082.9534   3636606.2655   3636252.4582    2215.8058   -9920.2987      57.1672
    215  1509    526642    8242  -3761082.9543   3636606.2632   3636252.4618    2215.8081   -9920.2952      57.1684
    216  1509    526643    8243  -3761082.9538   3636606.2640   3636252.4633    2215.8072   -9920.2941      57.1695
    217  1509    526644    8244  -3761082.9580   3636606.2647   3636252.4694    2215.8095   -9920.2911      57.1758
    218  1509    526645    8245  -3761082.9527   3636606.2626   3636252.4673    2215.8074   -9920.2898      57.1703
    219  1509    526646    8246  -3761082.9547   3636606.2663   3636252.4692    2215.8061   -9920.2906      57.1747
    220  1509    526647    8247  -3761082.9568   3636606.2649   3636252.4701    2215.8086   -9920.2901      57.1757
    221  1509    526648    8248  -3761082.9637   3636606.2670   3636252.4684    2215.8119   -9920.2953      57.1799
    222  1509    526649    8249  -3761082.9583   3636606.2638   3636252.4660    2215.8104   -9920.2937      57.1736
    223  1509    526650    8250  -3761082.9605   3636606.2608   3636252.4675    2215.8141   -9920.2921      57.1740
    224  1509    526651    8251  -3761082.9583   3636606.2558   3636252.4665    2215.8161   -9920.2901      57.1693
    225  1509    526652    8252  -3761082.9595   3636606.2559   3636252.4674    2215.8170   -9920.2899      57.1706
    226  1509    526653    8253  -3761082.9578   3636606.2559   3636252.4638    2215.8157   -9920.2921      57.1675
    227  1509    526654    8254  -3761082.9583   3636606.2546   3636252.4596    2215.8171   -9920.2953      57.1647
    228  1509    526655    8255  -3761082.9613   3636606.2558   3636252.4606    2215.8182   -9920.2961      57.1677
    229  1509    526656    8256  -3761082.9604   3636606.2567   3636252.4631    2215.8170   -9920.2940      57.1691
    230  1509    526657    8257  -3761082.9569   3636606.2552   3636252.4655    2215.8157   -9920.2901      57.1675
    231  1509    526658    8258  -3761082.9591   3636606.2542   3636252.4607    2215.8180   -9920.2945      57.1655
    232  1509    526659    8259  -3761082.9645   3636606.2568   3636252.4575    2215.8198   -9920.3004      57.1683
    233  1509    526660    8260  -3761082.9661   3636606.2539   3636252.4557    2215.8229   -9920.3013      57.1666
    234  1509    526661    8261  -3761082.9724   3636606.2552   3636252.4612    2215.8264   -9920.2999      57.1742
    235  1509    526662    8262  -3761082.9778   3636606.2574   3636252.4624    2215.8286   -9920.3021      57.1794
    236  1509    526663    8263  -3761082.9797   3636606.2573   3636252.4591    2215.8300   -9920.3055      57.1785
    237  1509    526664    8264  -3761082.9834   3636606.2537   3636252.4601    2215.8352   -9920.3048      57.1791
    238  1509    526665    8265  -3761082.9851   3636606.2539   3636252.4600    2215.8362   -9920.3057      57.1803
    239  1509    526666    8266  -3761082.9922   3636606.2581   3636252.4593    2215.8381   -9920.3109      57.1864
