% 2016îN 11åé 22ì˙ 16éû 27ï™ 59.386000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  020606_rov_mod.02o
Ephemeris   File :  020606_rov_mod.02n
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2002/ 6/ 6  5:28:20
END         TIME :  2002/ 6/ 6  5:43: 5
Ref. Position[m] :  X = -3761137.6450,  Y = 3636645.7770,  Z = 3636348.1380

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD      X_fix[m]       Y_fix[m]       Z_fix[m]       E_fix[m]     N_fix[m]     U_fix[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    170  1169    365469   19869  -3760899.7863   3636787.3986   3636371.0642    -267.1500      60.3814     -46.3029
    171  1169    365470   19870  -3760899.4244   3636787.6554   3636371.1726    -267.5863      60.5170     -46.3076
    172  1169    365471   19871  -3760899.0849   3636787.9115   3636371.2823    -268.0064      60.6447     -46.2989
    173  1169    365472   19872  -3760898.7382   3636788.1499   3636371.3910    -268.4187      60.7817     -46.3050
    174  1169    365473   19873  -3760898.3965   3636788.3815   3636371.5178    -268.8228      60.9341     -46.3017
    175  1169    365474   19874  -3760898.0462   3636788.6082   3636371.6529    -269.2292      61.0988     -46.3015
    176  1169    365475   19875  -3760897.6918   3636788.8245   3636371.7979    -269.6311      61.2776     -46.3039
    177  1169    365476   19876  -3760897.3347   3636789.0518   3636371.9326    -270.0428      61.4445     -46.3076
    178  1169    365477   19877  -3760896.9735   3636789.2753   3636372.0670    -270.4545      61.6144     -46.3159
    179  1169    365478   19878  -3760896.6170   3636789.4908   3636372.2101    -270.8572      61.7927     -46.3212
    180  1169    365479   19879  -3760896.2578   3636789.7227   3636372.3469    -271.2736      61.9605     -46.3223
    181  1169    365480   19880  -3760895.9088   3636789.9391   3636372.4876    -271.6717      62.1334     -46.3239
    182  1169    365481   19881  -3760895.5699   3636790.1484   3636372.6436    -272.0578      62.3174     -46.3150
    183  1169    365482   19882  -3760895.2177   3636790.3456   3636372.7994    -272.4443      62.5117     -46.3207
    184  1169    365483   19883  -3760894.8655   3636790.5309   3636372.9649    -272.8224      62.7186     -46.3277
    185  1169    365484   19884  -3760894.5227   3636790.7380   3636373.1220    -273.2096      62.9060     -46.3217
    186  1169    365485   19885  -3760894.1614   3636790.9300   3636373.2904    -273.5988      63.1164     -46.3285
    187  1169    365486   19886  -3760893.7988   3636791.1216   3636373.4742    -273.9886      63.3401     -46.3276
    188  1169    365487   19887  -3760893.4429   3636791.2990   3636373.6548    -274.3634      63.5640     -46.3327
    189  1169    365488   19888  -3760893.0965   3636791.4806   3636373.8315    -274.7348      63.7792     -46.3320
    190  1169    365489   19889  -3760892.7395   3636791.6608   3636374.0150    -275.1125      64.0049     -46.3345
    191  1169    365490   19890  -3760892.3840   3636791.8371   3636374.2004    -275.4864      64.2330     -46.3372
    192  1169    365491   19891  -3760892.0384   3636792.0348   3636374.3758    -275.8687      64.4404     -46.3276
    193  1169    365492   19892  -3760891.6921   3636792.2101   3636374.5598    -276.2355      64.6640     -46.3262
    194  1169    365493   19893  -3760891.3453   3636792.3655   3636374.7615    -276.5882      64.9103     -46.3263
    195  1169    365494   19894  -3760890.9924   3636792.5221   3636374.9511    -276.9461      65.1487     -46.3363
    196  1169    365495   19895  -3760890.6366   3636792.6847   3636375.1564    -277.3104      65.3988     -46.3357
    197  1169    365496   19896  -3760890.2902   3636792.8250   3636375.3708    -277.6520      65.6613     -46.3368
    198  1169    365497   19897  -3760889.9476   3636792.9882   3636375.5614    -278.0075      65.8937     -46.3364
    199  1169    365498   19898  -3760889.5976   3636793.1347   3636375.7729    -278.3560      66.1528     -46.3379
    200  1169    365499   19899  -3760889.2555   3636793.2863   3636375.9794    -278.7029      66.4026     -46.3346
    201  1169    365500   19900  -3760888.9112   3636793.4225   3636376.2010    -279.0401      66.6717     -46.3328
    202  1169    365501   19901  -3760888.5712   3636793.5488   3636376.4133    -279.3672      66.9355     -46.3394
    203  1169    365502   19902  -3760888.2262   3636793.6888   3636376.6471    -279.7077      67.2135     -46.3289
    204  1169    365503   19903  -3760887.8802   3636793.8138   3636376.8752    -280.0380      67.4931     -46.3307
    205  1169    365504   19904  -3760887.5501   3636793.9403   3636377.0977    -280.3585      67.7611     -46.3256
    206  1169    365505   19905  -3760887.1926   3636794.0572   3636377.3369    -280.6910      68.0578     -46.3324
    207  1169    365506   19906  -3760886.8400   3636794.1850   3636377.5672    -281.0280      68.3409     -46.3353
    208  1169    365507   19907  -3760886.4915   3636794.2916   3636377.8176    -281.3468      68.6472     -46.3363
    209  1169    365508   19908  -3760886.1325   3636794.3942   3636378.0676    -281.6701      68.9591     -46.3460
    210  1169    365509   19909  -3760885.7977   3636794.5047   3636378.3046    -281.9823      69.2473     -46.3443
    211  1169    365510   19910  -3760885.4627   3636794.5992   3636378.5495    -282.2831      69.5483     -46.3475
    212  1169    365511   19911  -3760885.1242   3636794.6917   3636378.8109    -282.5849      69.8652     -46.3443
    213  1169    365512   19912  -3760884.7852   3636794.7755   3636379.0653    -282.8807      70.1800     -46.3504
    214  1169    365513   19913  -3760884.4409   3636794.8923   3636379.3227    -283.2040      70.4863     -46.3391
    215  1169    365514   19914  -3760884.0994   3636794.9666   3636379.5799    -283.4949      70.8081     -46.3505
    216  1169    365515   19915  -3760883.7613   3636795.0518   3636379.8507    -283.7912      71.1354     -46.3458
    217  1169    365516   19916  -3760883.4150   3636795.1325   3636380.1199    -284.0899      71.4665     -46.3496
    218  1169    365517   19917  -3760883.0656   3636795.2178   3636380.3879    -284.3941      71.7961     -46.3531
    219  1169    365518   19918  -3760882.7313   3636795.2900   3636380.6556    -284.6783      72.1244     -46.3555
    220  1169    365519   19919  -3760882.3906   3636795.3516   3636380.9378    -284.9595      72.4715     -46.3593
    221  1169    365520   19920  -3760882.0612   3636795.4209   3636381.2059    -285.2383      72.7994     -46.3600
    222  1169    365521   19921  -3760881.7375   3636795.4670   3636381.4966    -285.4964      73.1526     -46.3578
    223  1169    365522   19922  -3760881.4108   3636795.5157   3636381.7794    -285.7585      73.4995     -46.3603
    224  1169    365523   19923  -3760881.0713   3636795.5713   3636382.0639    -286.0345      73.8503     -46.3656
    225  1169    365524   19924  -3760880.7439   3636795.6361   3636382.3357    -286.3086      74.1823     -46.3657
    226  1169    365525   19925  -3760880.4137   3636795.6862   3636382.6347    -286.5741      74.5433     -46.3603
    227  1169    365526   19926  -3760880.0802   3636795.7367   3636382.9156    -286.8423      74.8908     -46.3669
    228  1169    365527   19927  -3760879.7472   3636795.7977   3636383.1975    -287.1176      75.2347     -46.3667
    229  1169    365528   19928  -3760879.4205   3636795.8497   3636383.4734    -287.3820      75.5747     -46.3713
    230  1169    365529   19929  -3760879.0788   3636795.9063   3636383.7561    -287.6603      75.9246     -46.3783
    231  1169    365530   19930  -3760878.7457   3636795.9680   3636384.0305    -287.9362      76.2621     -46.3820
    232  1169    365531   19931  -3760878.4195   3636796.0326   3636384.3190    -288.2094      76.6073     -46.3720
    233  1169    365532   19932  -3760878.0902   3636796.1015   3636384.5817    -288.4878      76.9308     -46.3761
    234  1169    365533   19933  -3760877.7632   3636796.1727   3636384.8558    -288.7663      77.2617     -46.3710
    235  1169    365534   19934  -3760877.4358   3636796.2327   3636385.1377    -289.0370      77.6037     -46.3680
    236  1169    365535   19935  -3760877.1041   3636796.2824   3636385.4217    -289.3033      77.9533     -46.3723
    237  1169    365536   19936  -3760876.7816   3636796.3467   3636385.7024    -289.5738      78.2906     -46.3647
    238  1169    365537   19937  -3760876.4573   3636796.4033   3636385.9794    -289.8398      78.6286     -46.3647
    239  1169    365538   19938  -3760876.1284   3636796.4496   3636386.2648    -290.1017      78.9796     -46.3684
    240  1169    365539   19939  -3760875.8012   3636796.5124   3636386.5490    -290.3743      79.3222     -46.3624
