% 2016îN 11åé 14ì˙ 17éû 45ï™ 1.662000ïb é¿çs
%------------------------------------------------------------------------------------------------------------------------------
Observation File :  oem4_20081213.08O
Ephemeris   File :  oem4_20081213.08N
IONEX       File :  Nothing
IGS SP3     File :  Nothing
START       TIME :  2008/12/13  3: 0: 0
END         TIME :  2008/12/13  3:30: 0
Ref. Position[m] :  X = -3761093.2427,  Y = 3636603.6005,  Z = 3636306.6059

%-------------------------------------------------------------------------------------------------------------------------------
% Epoch  WEEK      ToW     ToD     X_float[m]     Y_float[m]     Z_float[m]    E_float[m]   N_float[m]   U_float[m] 
%-------------------------------------------------------------------------------------------------------------------------------
    208  1509    529407   11007  -3754484.7007   3633240.8206   3646243.1871      45.7215    2325.7402       1.5883
    209  1509    529408   11008  -3754471.5383   3633245.0840   3646252.4569      33.5045    2337.0582       1.5999
    210  1509    529409   11009  -3754458.1862   3633250.3298   3646261.0472      20.4495    2347.5059       1.6685
    211  1509    529410   11010  -3754444.6207   3633256.0001   3646269.4540       6.9411    2357.7219       1.7479
    212  1509    529411   11011  -3754430.7497   3633261.7368   3646277.8373      -6.8274    2368.0183       1.6719
    213  1509    529412   11012  -3754416.6731   3633267.5672   3646286.4014     -20.8062    2378.5101       1.6321
    214  1509    529413   11013  -3754402.4366   3633273.5218   3646295.0977     -34.9856    2389.1265       1.6450
    215  1509    529414   11014  -3754388.0268   3633279.5139   3646303.8815     -49.3123    2399.8711       1.6276
    216  1509    529415   11015  -3754373.5278   3633285.5212   3646312.7861     -63.7120    2410.7453       1.6357
    217  1509    529416   11016  -3754358.9547   3633291.5144   3646321.7338     -78.1531    2421.6911       1.6170
    218  1509    529417   11017  -3754344.3869   3633297.5167   3646330.6749     -92.5971    2432.6255       1.6029
    219  1509    529418   11018  -3754329.8748   3633303.5544   3646339.5481    -107.0278    2443.4673       1.6025
    220  1509    529419   11019  -3754315.4428   3633309.5846   3646348.3815    -121.3973    2454.2465       1.6222
    221  1509    529420   11020  -3754301.1452   3633315.5095   3646357.2005    -135.5978    2465.0004       1.6528
    222  1509    529421   11021  -3754287.1560   3633321.0106   3646366.1216    -149.2792    2475.8799       1.6822
    223  1509    529422   11022  -3754273.6178   3633325.5374   3646375.5404    -161.9469    2487.3698       1.7082
    225  1509    529424   11024  -3754248.3064   3633330.7580   3646396.2348    -183.3003    2512.6721       1.6837
    226  1509    529425   11025  -3754236.4328   3633331.7745   3646407.3812    -192.2879    2526.2913       1.6835
    227  1509    529426   11026  -3754225.0397   3633331.6565   3646419.1353    -200.1260    2540.6628       1.6694
    228  1509    529427   11027  -3754214.1542   3633330.4800   3646431.4445    -206.8505    2555.7019       1.6704
    229  1509    529428   11028  -3754203.8733   3633328.2664   3646444.1774    -212.4093    2571.2526       1.6801
    230  1509    529429   11029  -3754194.3016   3633324.9713   3646457.2204    -216.6977    2587.1964       1.6696
    231  1509    529430   11030  -3754185.5277   3633320.6376   3646470.5080    -219.6850    2603.4260       1.6777
    232  1509    529431   11031  -3754177.7171   3633315.3003   3646483.7635    -221.2812    2619.6325       1.6627
    233  1509    529432   11032  -3754171.0084   3633309.0503   3646496.8092    -221.4552    2635.5771       1.6558
    234  1509    529433   11033  -3754165.4738   3633301.9272   3646509.5152    -220.1853    2651.1077       1.6472
    235  1509    529434   11034  -3754161.1044   3633294.0073   3646521.7697    -217.5326    2666.1060       1.6111
    236  1509    529435   11035  -3754157.5097   3633285.7165   3646533.6135    -214.0745    2680.5966       1.5834
    237  1509    529436   11036  -3754154.4509   3633277.2646   3646545.0655    -210.1281    2694.6096       1.5542
    238  1509    529437   11037  -3754151.6592   3633268.8478   3646556.1858    -206.0210    2708.2268       1.5114
    239  1509    529438   11038  -3754148.9974   3633260.6881   3646566.8068    -202.0085    2721.2790       1.4045
    240  1509    529439   11039  -3754146.4005   3633253.2058   3646576.5727    -198.4376    2733.3338       1.2300
    241  1509    529440   11040  -3754143.8566   3633246.5119   3646585.4308    -195.3964    2744.3088       1.0137
    242  1509    529441   11041  -3754141.4193   3633240.6052   3646593.3643    -192.8466    2754.1684       0.7769
    243  1509    529442   11042  -3754139.2120   3633235.4385   3646600.3487    -190.6687    2762.8607       0.5512
    244  1509    529443   11043  -3754137.2238   3633230.7989   3646606.6849    -188.7174    2770.7213       0.3819
    245  1509    529444   11044  -3754135.4807   3633226.7269   3646612.3170    -187.0034    2777.6776       0.2753
    246  1509    529445   11045  -3754134.1041   3633223.4571   3646616.8391    -185.6110    2783.2537       0.2030
    247  1509    529446   11046  -3754133.1237   3633221.1084   3646620.1144    -184.6050    2787.2777       0.1716
    248  1509    529447   11047  -3754132.4545   3633219.5070   3646622.3549    -183.9196    2790.0275       0.1539
    249  1509    529448   11048  -3754132.1064   3633218.6688   3646623.5289    -183.5593    2791.4671       0.1466
    250  1509    529449   11049  -3754131.9845   3633218.3806   3646623.9382    -183.4370    2791.9675       0.1461
    251  1509    529450   11050  -3754131.9588   3633218.3157   3646624.0405    -183.4081    2792.0878       0.1528
    252  1509    529451   11051  -3754131.9508   3633218.3035   3646624.0465    -183.4050    2792.1008       0.1446
    253  1509    529452   11052  -3754131.9541   3633218.3087   3646624.0461    -183.4064    2792.0971       0.1494
